Filename	Artist	Title	Chart Date	Peak Position	Weeks on Chart	Target Rank	Actual Rank	Sample ID#
PetShopBoys_WhereTheStreetsHaveNoName_1991	Pet Shop Boys	Where The Streets Have No Name	1991/06/08, 1991/06/29	72, 72	7, 7	76, 84	76, 83	382, 1300
AaronNeville_TellItLikeItIs_1966	Aaron Neville	Tell It Like It Is	1966/12/10	2	14	52	51	691
ABBA_Chiquitita_1979	ABBA	Chiquitita	1979/12/15	29	12	34	35	183
ABBA_Fernando_1976	ABBA	Fernando	1976/10/09	13	16	26	24	218
ABBA_HoneyHoney_1974	ABBA	Honey, Honey	1974/09/21	27	10	73	72	902
ABBA_KnowingMeKnowingYou_1977	ABBA	Knowing Me, Knowing You	1977/07/02	14	15	23	24	231
ABBA_OnAndOnAndOn_1981	ABBA	On And On And On	1981/07/04	90	6	91	91	894
ABBA_TakeAChanceOnMe_1978	ABBA	Take A Chance On Me	1978/05/06	3	18	32	30	961
Aerosmith_LastChild_1976	Aerosmith	Last Child	1976/08/07	21	15	21	21	15
Alabama_TakeMeDown_1982	Alabama	Take Me Down	1982/07/17	18	13	19	18	1082
AlanODay_UndercoverAngel_1977	Alan O'Day	Undercover Angel	1977/08/27	1	25	31	31	367
AlGreen_OhMeOhMy_1975	Al Green	Oh Me, Oh My (Dreams In My Arms)	1975/07/19	48	6	59	59	573
AliceCooper_HeyStoopid_1991	Alice Cooper	Hey Stoopid	1991/07/27	78	5	99	99	599
AliceCooper_SchoolsOut_1972	Alice Cooper	School's Out	1972/07/29	7	13	8	7	195
AndyGibb_ShadowDancing_1978	Andy Gibb	Shadow Dancing	1978/09/30, 1978/09/02	1, 1	25, 25	96, 52	96, 50	193, 737
AnitaBaker_CaughtUpInTheRapture_1987	Anita Baker	Caught Up In The Rapture	1987/03/21, 1987/02/28	37, 37	18, 18	85, 56	85, 56	647, 709
AnitaBaker_GivingYouTheBestThatIGot_1989	Anita Baker	Giving You The Best That I Got	1989/01/21	3	22	27	27	578
AnitaBaker_SweetLove_1986	Anita Baker	Sweet Love	1986/09/13	8	22	37	35	837
AnneMurray_CouldIHaveThisDance_1980	Anne Murray	Could I Have This Dance	1980/10/11	33	14	40	41	199
AnneMurray_DaydreamBeliever_1980	Anne Murray	Daydream Believer	1980/04/12, 1980/01/05	12, 12	17, 17	69, 56	69, 56	312, 475
AnneMurray_LoveSong_1974	Anne Murray	Love Song	1974/01/05	12	17	62	60	917
AnnPeebles_ICantStandTheRain_1973	Ann Peebles	I Can't Stand The Rain	1973/09/22	38	21	68	70	377
ArethaFranklin_ChainOfFools_1967	Aretha Franklin	Chain Of Fools	1967/12/23	2	12	16	17	418
ArethaFranklin_INeverLovedAMan_1967	Aretha Franklin	I Never Loved A Man (The Way I Love You)	1967/05/13	9	11	32	32	403
ArethaFranklin_OhMeOhMy_1972	Aretha Franklin	Oh Me Oh My (I'm A Fool For You Baby)	1972/01/22	73	4	75	75	1042
ArthurConley_SweetSoulMusic_1967	Arthur Conley	Sweet Soul Music	1967/03/25	2	15	45	45	965
ATasteOfHoney_Sukiyaki_1981	A Taste Of Honey	Sukiyaki	1981/04/25	3	24	31	30	1286
BachmanTurnerOverdrive_Heartaches_1979	Bachman-Turner Overdrive	Heartaches	1979/03/10	60	7	81	82	699
BachmanTurnerOverdrive_RollOnDownTheHighway_1975	Bachman-Turner Overdrive	Roll On Down The Highway	1975/01/25	14	11	55	55	351
BadCompany_RockNRollFantasy_1979	Bad Company	Rock 'N' Roll Fantasy	1979/07/07	13	20	41	41	27
Badfinger_MaybeTomorrow_1969	Badfinger	Maybe Tomorrow	1969/03/15	67	6	67	67	723
Baltimora_TarzanBoy_1986	Baltimora	Tarzan Boy (from the film Teenage Mutant Ninja Turtles III)	1986/01/18, 1985/12/21	13, 13	38, 38	39, 54	38, 52	572, 600
Bananarama_ATrickOfTheNight_1987	Bananarama	A Trick Of The Night	1987/01/31	76	7	88	86	99
Bananarama_Venus_1986	Bananarama	Venus	1986/11/01	1	19	97	99	981
BarbaraLewis_HelloStranger_1963	Barbara Lewis	Hello Stranger	1963/07/06	3	14	4	4	984
BarbraStreisand_FunnyGirl_1964	Barbra Streisand	Funny Girl	1964/10/10	44	9	47	45	1118
BarbraStreisand_People_1964	Barbra Streisand	People	1964/08/08	5	19	36	36	49
BarryWhite_YoureTheFirstTheLastMyEverything_1974	Barry White	You're The First, The Last, My Everything	1974/11/23	2	15	29	27	796
BayCityRollers_SaturdayNight_1975	Bay City Rollers	Saturday Night	1975/12/13	1	17	5	5	1228
BBKing_HowBlueCanYouGet_1964	B.B. King	How Blue Can You Get	1964/03/28	97	2	96	97	510
BBKing_TheThrillIsGone_1970	B.B. King	The Thrill Is Gone	1970/03/28	15	14	45	44	605
BeastieBoys_BrassMonkey_1987	Beastie Boys	Brass Monkey	1987/04/25	48	10	47	48	634
BenEKing_Amor_1961	Ben E. King	Amor	1961/08/07	18	10	57	58	583
BerthaTillman_OhMyAngel_1962	Bertha Tillman	Oh My Angel	1962/06/09	61	9	61	61	511
BetteMidler_TheRose_1980	Bette Midler	The Rose	1980/08/02, 1980/07/05	3, 3	25, 25	15,  3	16,  3	6, 1271
BillWithers_AintNoSunshine_1971	Bill Withers	Ain't No Sunshine	1971/08/21	3	16	24	23	1058
BillWithers_LovelyDay_1978	Bill Withers	Lovely Day	1978/02/25	30	12	77	79	823
BillyIdol_CatchMyFall_1985	Billy Idol	Catch My Fall	1985/01/12	50	11	90	88	794
BillyIdol_FleshForFantasy_1984	Billy Idol	Flesh For Fantasy	1984/09/15	29	12	39	39	464
BillyIdol_HotInTheCity_1982	Billy Idol	Hot In The City	1982/09/25	23	27	23	23	920
BillyIdol_RebelYell_1984	Billy Idol	Rebel Yell	1984/04/07	46	14	61	61	1167
BillyIdol_WhiteWedding_1983	Billy Idol	White Wedding	1983/07/23, 1983/07/02	36, 36	13, 13	54, 34	55, 36	701, 1296
BillyJoel_AnInnocentMan_1984	Billy Joel	An Innocent Man	1984/03/24	10	18	49	51	10
BillyJoel_DontAskMeWhy_1980	Billy Joel	Don't Ask Me Why	1980/10/18	19	15	58	57	969
BillyJoel_JustTheWayYouAre_1978	Billy Joel	Just The Way You Are	1978/01/14, 1978/04/29	3, 3	27, 27	14, 91	16, 92	240, 295
BillyJoel_Pressure_1983	Billy Joel	Pressure	1983/01/15	20	17	94	93	205
BillyPreston_WithYouImBornAgain_1979	Billy Preston	With You I'm Born Again	1979/12/22	4	29	93	92	540
BillySquier_DontSayYouLoveMe_1989	Billy Squier	Don't Say You Love Me	1989/07/15	58	15	65	64	452
BillySquier_MyKindaLover_1982	Billy Squier	My Kinda Lover	1982/01/09	45	10	46	46	1051
BillySquier_TheStroke_1981	Billy Squier	The Stroke	1981/05/16	17	20	82	84	963
BillySwan_ICanHelp_1974	Billy Swan	I Can Help	1974/09/28, 1974/11/30	1, 1	18, 18	88,  1	90,  1	601, 1093
BingCrosby_SilentNight_1960	Bing Crosby	Silent Night	1960/12/19	54	2	64	64	123
BingCrosby_WhiteChristmas_1962	Bing Crosby	White Christmas	1962/12/29	12	13	40	38	241
BizMarkie_JustAFriend_1990	Biz Markie	Just A Friend	1990/02/10	9	22	28	29	827
BJThomas_HookedOnAFeeling_1968	B.J. Thomas	Hooked On A Feeling	1968/12/14	5	16	22	23	1048
Blondie_IslandOfLostSouls_1982	Blondie	Island Of Lost Souls	1982/07/31	37	10	96	95	1203
Blondie_OneWayOrAnother_1979	Blondie	One Way Or Another	1979/06/16	24	14	48	47	743
BlueCheer_SummertimeBlues_1968	Blue Cheer	Summertime Blues	1968/05/25	14	13	32	33	1170
BobbieGentry_OdeToBillieJoe_1976	Bobbie Gentry	Ode To Billie Joe	1976/07/24	1	20	75	77	1168
BobbiMartin_ILoveYouSo_1965	Bobbi Martin	I Love You So	1965/06/19	70	7	72	74	56
BobbyBare_DetroitCity_1963	Bobby Bare	Detroit City	1963/07/20	16	12	24	24	133
BobbyDarin_IfIWereACarpenter_1966	Bobby Darin	If I Were A Carpenter	1966/10/01	8	11	51	51	1265
BobbyWomack_SweetCaroline_1972	Bobby Womack	Sweet Caroline (Good Times Never Seemed So Good)	1972/09/09	51	9	63	63	915
BobbyWomack_ThatsTheWayIFeelAboutCha_1971	Bobby Womack	That's The Way I Feel About Cha	1971/12/18	27	13	72	71	297
BobDylan_GottaServeSomebody_1979	Bob Dylan	Gotta Serve Somebody	1979/10/06	24	12	41	39	282
BobSeger_AgainstTheWind_1980	Bob Seger	Against The Wind	1980/07/05	5	17	6	6	1177
BobSeger_AmericanStorm_1986	Bob Seger	American Storm	1986/05/24	13	14	37	36	1277
BobSeger_EvenNow_1983	Bob Seger	Even Now	1983/03/19	12	12	52	50	1208
BobSeger_LikeARock_1986	Bob Seger	Like A Rock	1986/08/16	12	13	93	91	941
BobSeger_NightMoves_1977	Bob Seger	Night Moves	1977/03/19	4	21	4	4	1171
BobSeger_OldTimeRockAndRoll_1979	Bob Seger	Old Time Rock & Roll	1979/05/19	28	18	32	30	249
BobSeger_RockAndRollNeverForgets_1977	Bob Seger	Rock And Roll Never Forgets	1977/08/06	41	8	44	43	1071
BobSeger_TryinToLiveMyLifeWithoutYou_1981	Bob Seger	Tryin' To Live My Life Without You	1981/10/24	5	19	11	11	830
BoDiddley_YouCantJudgeABookByTheCover_1962	Bo Diddley	You Can't Judge A Book By The Cover	1962/09/01	48	10	67	66	179
BonniePointer_HeavenMustHaveSentYou_1979	Bonnie Pointer	Heaven Must Have Sent You	1979/11/03	11	23	29	28	1232
BonnieRaitt_NickOfTime_1990	Bonnie Raitt	Nick Of Time	1990/05/26	92	3	91	92	627
Boston_Amanda_1986	Boston	Amanda	1986/12/13	1	18	24	24	1234
Boston_FeelinSatisfied_1979	Boston	Feelin' Satisfied	1979/03/31	46	7	66	65	952
BoyzIIMen_Motownphilly_1991	Boyz II Men	Motownphilly	1991/08/10	3	24	14	14	97
Bread_If_1971	Bread	If	1971/06/05, 1971/06/05	4, 4	12, 12	18, 17	18, 18	106, 988
Bread_SweetSurrender_1972	Bread	Sweet Surrender	1972/11/11	15	11	55	55	847
BrendaLee_AllAloneAmI_1962	Brenda Lee	All Alone Am I	1962/10/20	3	15	15	15	1253
BrendaLee_AsUsual_1964	Brenda Lee	As Usual	1964/02/15, 1964/01/04	12, 12	11, 11	32, 15	34, 14	288, 471
BrendaLee_ComingOnStrong_1966	Brenda Lee	Coming On Strong	1966/10/29	11	13	29	31	968
BrendaLee_DumDum_1961	Brenda Lee	Dum Dum	1961/07/03	4	12	21	20	356
BrendaLee_EverybodyLovesMeButYou_1962	Brenda Lee	Everybody Loves Me But You	1962/06/16	6	11	21	21	790
BrendaLee_HeartInHand_1962	Brenda Lee	Heart In Hand	1962/07/07	15	8	65	65	484
BrendaLee_LosingYou_1963	Brenda Lee	Losing You	1963/06/29	6	13	40	41	371
BrendaLee_SweetNothins_1960	Brenda Lee	Sweet Nothin's	1960/01/04	4	24	77	79	162
BrendaLee_TooManyRivers_1965	Brenda Lee	Too Many Rivers	1965/06/05	13	13	76	78	696
BrotherJackMcDuff_ThemeFromElectricSurfboard_1969	Brother Jack McDuff	Theme From Electric Surfboard	1969/12/27	95	2	97	95	251
BrownsvilleStation_SmokinInTheBoysRoom_1973	Brownsville Station	Smokin' In The Boy's Room	1973/11/03, 1973/11/24	3, 3	19, 19	95, 49	93, 51	256, 755
BruceChannel_HeyBaby_1962	Bruce Channel	Hey! Baby	1962/04/28	1	14	40	40	789
BruceSpringsteen_ImGoinDown_1985	Bruce Springsteen	I'm Goin' Down	1985/11/09	9	13	32	32	426
BruceSpringsteen_MyHometown_1985	Bruce Springsteen	My Hometown	1985/12/14	6	15	44	44	1066
BuckOwens_IveGotATigerByTheTail_1965	Buck Owens	I've Got A Tiger By The Tail	1965/01/23	25	9	84	85	1225
BuckOwens_ThinkOfMe_1966	Buck Owens	Think Of Me	1966/05/28	74	5	99	99	1154
CandiStaton_YoungHeartsRunFree_1976	Candi Staton	Young Hearts Run Free	1976/06/26, 1976/08/21	20, 20	16, 16	38, 20	40, 20	390, 522
CannedHeat_LetsWorkTogether_1970	Canned Heat	Let's Work Together	1970/10/10	26	11	85	84	577
CannedHeat_OnTheRoadAgain_1968	Canned Heat	On The Road Again	1968/08/24	16	11	70	72	688
CarlCarlton_EverlastingLove_1974	Carl Carlton	Everlasting Love	1974/12/21	6	15	50	49	607
CharlieRich_AVerySpecialLoveSong_1974	Charlie Rich	A Very Special Love Song	1974/03/02	11	14	50	51	779
CharlieRich_BehindClosedDoors_1973	Charlie Rich	Behind Closed Doors	1973/06/30	15	19	20	20	1218
CharlieRich_LonelyWeekends_1960	Charlie Rich	Lonely Weekends	1960/07/11, 1960/06/27	22, 22	21, 21	66, 34	65, 34	1113, 1123
CheapTrick_DreamPolice_1979	Cheap Trick	Dream Police	1979/11/10, 1979/11/17	26, 26	10, 10	28, 27	29, 27	317, 323
CheapTrick_IWantYouToWantMe_1979	Cheap Trick	I Want You To Want Me	1979/07/28	7	19	7	7	188
CheapTrick_StopThisGame_1980	Cheap Trick	Stop This Game	1980/12/06	48	12	48	48	539
CheapTrick_Surrender_1978	Cheap Trick	Surrender	1978/08/12, 1978/09/09	62, 62	8, 8	70, 90	69, 92	555, 1022
Cher_IfICouldTurnBackTime_1989	Cher	If I Could Turn Back Time	1989/11/11	3	23	45	47	843
Cher_JustLikeJesseJames_1989	Cher	Just Like Jesse James	1989/12/30	8	18	7	8	821
Chicago_25Or6To4_1970	Chicago	25 Or 6 To 4	1970/08/08, 1970/08/29, 1970/09/05	4, 4, 4	20, 20, 20	26, 10,  5	27, 10,  6	176, 292, 1227
Chicago_AliveAgain_1978	Chicago	Alive Again	1978/11/18	14	13	17	17	1240
Chicago_AlongComesAWoman_1985	Chicago	Along Comes A Woman	1985/03/16, 1985/05/11, 1985/04/20	14, 14, 14	16, 16, 16	36, 34, 16	36, 34, 14	198, 574, 776
Chicago_AnotherRainyDayInNewYorkCity_1976	Chicago	Another Rainy Day In New York City	1976/08/21	32	9	65	67	208
Chicago_DoesAnybodyReallyKnowWhatTimeItIs_1970	Chicago	Does Anybody Really Know What Time It Is?	1970/11/07	7	13	74	72	700
Chicago_FeelinStrongerEveryDay_1973	Chicago	Feelin' Stronger Every Day	1973/08/25, 1973/08/11	10, 10	16, 16	9, 11	11, 11	366, 684
Chicago_MakeMeSmile_1970	Chicago	Make Me Smile	1970/06/06	9	14	9	9	1085
Chicago_OldDays_1975	Chicago	Old Days	1975/05/03	5	11	43	43	445
ChicoDeBarge_TalkToMe_1987	Chico DeBarge	Talk To Me	1987/02/07	21	20	23	23	590
ChrisKenner_LandOf1000Dances_1963	Chris Kenner	Land Of 1000 Dances	1963/08/17	77	7	99	98	1111
ChubbyChecker_TheTwist_1962	Chubby Checker	The Twist	1962/03/17, 1962/03/24	1, 1	38, 38	25, 31	24, 32	948, 1103
ChuckBerry_AlmostGrown_1959	Chuck Berry	Almost Grown	1959/06/01	32	12	38	40	792
ChuckBerry_ReelinAndRockin_1972	Chuck Berry	Reelin' & Rockin'	1972/12/09	27	13	79	77	1110
ChuckBerry_SweetLittleRockAndRoll_1958	Chuck Berry	Sweet Little Rock And Roll	1958/12/29	47	9	52	52	115
ClarenceCarter_Patches_1970	Clarence Carter	Patches	1970/10/17	4	14	25	24	276
ClarenceCarter_TooWeakToFight_1968	Clarence Carter	Too Weak To Fight	1968/12/07, 1969/02/01	13, 13	15, 15	30, 33	28, 33	585, 765
CliffRichard_Carrie_1980	Cliff Richard	Carrie	1980/03/08, 1980/03/15	34, 34	11, 11	66, 58	66, 59	51, 1222
CliffRichard_DaddysHome_1982	Cliff Richard	Daddy's Home	1982/03/27	23	13	34	34	1161
CliffRichard_DevilWoman_1976	Cliff Richard	Devil Woman	1976/08/07	6	22	42	42	1073
CliffRichard_LivingDoll_1959	Cliff Richard	Living Doll	1959/10/12	30	13	48	46	740
CliffRichard_WeDontTalkAnymore_1979	Cliff Richard	We Don't Talk Anymore	1979/11/10	7	20	48	47	1273
ColorMeBadd_IAdoreMiAmor_1991	Color Me Badd	I Adore Mi Amor	1991/08/24	1	20	19	18	476
Commodores_Easy_1977	Commodores	Easy	1977/09/17, 1977/10/22	4, 4	22, 22	17, 95	17, 95	341, 1157
Commodores_Lady_1981	Commodores	Lady (You Bring Me Up)	1981/07/11	8	22	36	35	716
Commodores_Nightshift_1985	Commodores	Nightshift	1985/05/18	3	22	22	24	992
Commodores_Still_1980	Commodores	Still	1980/01/19	1	20	22	22	507
Commodores_ThreeTimesALady_1978	Commodores	Three Times A Lady	1978/09/02	1	20	1	2	1201
CoreyHart_InYourSoul_1988	Corey Hart	In Your Soul	1988/07/02, 1988/08/13	38, 38	10, 10	56, 89	56, 90	469, 657
CorneliusBrothersAndSisterRose_TreatHerLikeALady_1971	Cornelius Brothers & Sister Rose	Treat Her Like A Lady	1971/05/08, 1971/06/12	3, 3	18, 18	44,  8	45,  8	932, 1280
CountBasie_GoingToChicagoBlues_1958	Count Basie	Going To Chicago Blues	1958/08/18	100	1	99	100	1149
Cream_SunshineOfYourLove_1968	Cream	Sunshine Of Your Love	1968/03/30	5	26	60	60	114
CreedenceClearwaterRevival_BadMoonRising_1969	Creedence Clearwater Revival	Bad Moon Rising	1969/05/03	2	14	82	80	852
CreedenceClearwaterRevival_IPutASpellOnYou_1968	Creedence Clearwater Revival	I Put A Spell On You	1968/11/16	58	9	95	96	61
CrosbyStillsAndNash_GotItMade_1989	Crosby, Stills & Nash	Got It Made	1989/03/11	69	8	83	81	451
CrosbyStillsAndNash_SouthernCross_1982	Crosby, Stills & Nash	Southern Cross	1982/10/09	18	17	36	36	589
CrosbyStillsAndNash_SuiteJudyBlueEyes_1969	Crosby, Stills & Nash	Judy Blue Eyes	1969/10/18	21	12	64	64	518
CrosbyStillsAndNash_TeachYourChildren_1970	Crosby, Stills & Nash	Teach Your Children	1970/08/15	16	11	35	33	905
CultureClub_IllTumble4Ya_1983	Culture Club	I'll Tumble 4 Ya	1983/07/23	9	16	28	29	1223
CultureClub_KarmaChameleon_1984	Culture Club	Karma Chameleon	1984/04/28	1	22	99	97	979
CyndiLauper_AllThroughTheNight_1984	Cyndi Lauper	All Through The Night	1984/11/03, 1984/11/10, 1984/12/15	5, 5, 5	19, 19, 19	21, 14, 11	20, 12, 10	309, 769, 1084
CyndiLauper_IDroveAllNight_1989	Cyndi Lauper	I Drove All Night	1989/07/29	6	15	46	44	1011
CyndiLauper_SheBop_1984	Cyndi Lauper	She Bop	1984/07/28, 1984/10/06	3, 3	18, 18	37,  5	39,  5	16, 1274
CyndiLauper_TheGooniesRGoodEnough_1985	Cyndi Lauper	The Goonies R Good Enough	1985/06/22	10	15	17	19	401
CyndiLauper_TrueColors_1986	Cyndi Lauper	True Colors	1986/09/13	1	20	38	40	803
DarylHallAndJohnOates_KissOnMyList_1981	Daryl Hall & John Oates	Kiss On My List	1981/01/31	1	23	56	55	18
DarylHallAndJohnOates_Maneater_1983	Daryl Hall & John Oates	Maneater	1983/03/05	1	23	72	71	633
DarylHallAndJohnOates_RichGirl_1977	Daryl Hall & John Oates	Rich Girl	1977/05/07	1	20	31	30	485
DarylHallAndJohnOates_SaraSmile_1976	Daryl Hall & John Oates	Sara Smile	1976/04/17	4	28	31	29	708
DaveDudley_SixDaysOnTheRoad_1963	Dave Dudley	Six Days On The Road	1963/06/15	32	11	76	75	570
DavidBowie_BlueJean_1984	David Bowie	Blue Jean	1984/11/10	8	18	8	8	818
DavidBowie_GoldenYears_1976	David Bowie	Golden Years	1976/01/24	10	21	34	33	415
DavidBowie_ModernLove_1983	David Bowie	Modern Love	1983/12/10	14	13	92	94	970
DavidBowie_SpaceOddity_1973	David Bowie	Space Oddity	1973/04/21	15	14	22	21	86
DavidCrosbyAndGrahamNash_CarryMe_1975	David Crosby & Graham Nash	Carry Me	1975/12/06	52	6	52	52	1124
DavidRuffinAndJimmyRuffin_StandByMe_1970	David Ruffin & Jimmy Ruffin	Stand By Me	1970/11/28	61	7	61	61	119
DeanMartin_EverybodyLovesSomebody_1964	Dean Martin	Everybody Loves Somebody	1964/07/04	1	15	47	46	618
DeanMartin_IWill_1965	Dean Martin	I Will	1965/11/13	10	10	38	39	734
Debarge_TimeWillReveal_1984	Debarge	Time Will Reveal	1984/02/11	18	18	45	44	1013
DeLaSoul_MeMyselfAndI_1989	De La Soul	Me Myself And I	1989/09/09	34	17	99	99	887
DepecheMode_WorldInMyEyes_1990	Depeche Mode	World In My Eyes	1990/12/22, 1990/11/24	52, 52	10, 10	54, 70	52, 71	442, 757
DianaRoss_UpsideDown_1980	Diana Ross	Upside Down	1980/12/20	1	29	68	68	1285
DigitalUnderground_TheHumptyDance_1990	Digital Underground	The Humpty Dance	1990/04/28, 1990/04/28, 1990/08/11	11, 11, 11	23, 23, 23	24, 25, 86	26, 26, 85	304, 378, 521
DinahWashington_Unforgettable_1959	Dinah Washington	Unforgettable	1959/11/02	17	13	30	29	192
DinahWashington_WhereAreYou_1962	Dinah Washington	Where Are You	1962/06/23, 1962/06/16	36, 36	10, 10	34, 46	36, 46	722, 1099
Dion_AbrahamMartinAndJohn_1968	Dion	Abraham, Martin And John	1968/11/16	4	14	10	9	1146
Dion_BornToCry_1962	Dion	(I was) Born To Cry	1962/04/28	42	7	70	71	1101
Dion_LoveCameToMe_1962	Dion	Love Came To Me	1962/12/22, 1963/01/19	10, 10	11, 11	10, 36	10, 37	253, 1152
Dion_LoversWhoWander_1962	Dion	Lovers Who Wander	1962/04/21	3	12	86	86	1210
Dion_RubyBaby_1963	Dion	Ruby Baby	1963/02/09	2	13	6	7	439
Dion_RunaroundSue_1961	Dion	Runaround Sue	1961/12/18	1	14	22	20	145
Dion_ThisLittleGirl_1963	Dion	This Little Girl	1963/06/08	21	8	40	39	1063
Dion_WhereOrWhen_1960	Dion	Where Or When	1960/03/07, 1960/03/14	3, 3	16, 16	15, 18	15, 17	434, 816
