Filename	Artist	Title	Prexisting data?	Transcriber	Transcription Date	Comments	ChangesToMcGillTranscription
ATasteOfHoney_Sukiyaki_1981	A Taste Of Honey	Sukiyaki	_	_	_	_	_
AaronNeville_TellItLikeItIs_1966	Aaron Neville	Tell It Like It Is	midi	_	_	_	_
ABBA_Chiquitita_1979	ABBA	Chiquitita	midi	Hubert Leveille Gauvin	2/20/16	The MCGill transcription isn't very good for the instrumental intro, but things line up properly when the voice comes in.	_
ABBA_Fernando_1976	ABBA	Fernando	midi	_	_	_	_
ABBA_HoneyHoney_1974	ABBA	Honey, Honey 	midi	Claire Arthur	3/27/16	_	_
ABBA_KnowingMeKnowingYou_1977	ABBA	Knowing Me, Knowing You 	midi	_	_	_	_
ABBA_OnAndOnAndOn_1981	ABBA	On And On And On	_	_	_	_	_
ABBA_TakeAChanceOnMe_1978	ABBA	Take A Chance On Me	midi	_	_	_	_
Aerosmith_LastChild_1976	Aerosmith	Last Child	_	_	_	_	_
AlGreen_OhMeOhMy_1975	Al Green	Oh Me, Oh My (Dreams In My Arms) 	_	Jonathan Eldridge	5/17/20	"Like you'd expect, Al scoops into many notes (marked with glisses) The absolute gentlest of swings on the 16th Generally I'm omitting harmony or ""comping"" vocals from these transcriptions, just the ones that have lyrics or melody Ad lib at mm 47 is slightly ahead of where I placed it "	_
Alabama_TakeMeDown_1982	Alabama	Take Me Down	_	_	_	_	_
AlanODay_UndercoverAngel_1977	Alan O'Day	Undercover Angel	midi	_	_	_	_
AliceCooper_HeyStoopid_1991	Alice Cooper	Hey Stoopid	_	_	_	_	_
AliceCooper_SchoolsOut_1972	Alice Cooper	School's Out	midi	Nat Condit-Schultz	1/27/17	The McGill transcription is clearly of the wrong track---I believe it's the album version of the song. It has the key as D#m, when the true key is Em. Their harmonic interpretation of the main riff is also bizzare. Also, the verse section isn't labelled as such and the single version is much shorter. Modulation to Gm in chorus, but hard to say where modulation occurs.	Made extensive changes, both to match singe version of track (not album version) but also some interpretive changes regarding pedal tones.
AndyGibb_ShadowDancing_1978	Andy Gibb	Shadow Dancing	_	Jonathan Eldridge	4/24/20	Slight swing on the 16th	Added prominent harmonic syncopation in the intro and interlude.
AnitaBaker_CaughtUpInTheRapture_1987	Anita Baker	Caught Up In The Rapture	_	Jonathan Eldridge	5/9/20	"Big scoops up into phrases (over many pitches) marked with glissandos On the chorus, there are some sharp slides between notes, which I marked with the 32nd dotted 16th fig. with gliss that you'll see a lot; I differentiated them from graces because they're in time in a strange way, and much sharper than a grace Coming off a note the pitch, the ending syllable is sometimes a different pitch, and in these cases I used an x-head grace; sometimes Anita ""ghost sings"" lines and these audible releases are the only way to tell when she actually stops singing"	"Added prominent harmonic syncopation in into/interlude. Renamed ""chorus->prechorus"" and ""bridge->chorus."" Cut off last 16-measures (the single version is shorter)."
AnitaBaker_GivingYouTheBestThatIGot_1989	Anita Baker	Giving You The Best That I Got	_	_	_	_	_
AnitaBaker_SweetLove_1986	Anita Baker	Sweet Love	midi	Nat Condit-Schultz	8/2/16	_	Added key changes
AnnPeebles_ICantStandTheRain_1973	Ann Peebles	I Can't Stand The Rain	_	_	_	_	_
AnneMurray_CouldIHaveThisDance_1980	Anne Murray	Could I Have This Dance	midi	Hubert Leveille Gauvin; Nat Condit-Schultz	2016-06-22; 2019-10-15	I think that the McGill data is based on the 1997 live version, which is much longer and a tone higher, rather than based on the actual hot 100 single. I transcribed the single version.	I've fixed the harmonic transcription to match the single version (like it's suppose to), but haven't reall listened through it to make sure it is correct (i.e., the chords are all the same).
AnneMurray_DaydreamBeliever_1980	Anne Murray	Daydream Believer	_	_	_	_	_
AnneMurray_LoveSong_1974	Anne Murray	Love Song	midi	Hubert Leveille Gauvin	5/18/17	The McGill file is ok up to m. 66. But then it seems to be missing a whole section, as it goes directly into the outro. Maybe it was transcribed from a radio edit version? My transcriptions matches the McGill file. (I've started to update the melodic transcription to the correct length. Still need to do the harmonic transcription, and make corrections to the melodic transcription. -Nat)	_
ArethaFranklin_ChainOfFools_1967	Aretha Franklin	Chain Of Fools	midi	_	_	_	_
ArethaFranklin_INeverLovedAMan_1967	Aretha Franklin	I Never Loved A Man (The Way I Love You)	_	_	_	_	_
ArethaFranklin_OhMeOhMy_1972	Aretha Franklin	Oh Me Oh My (I'm A Fool For You Baby)	midi	_	_	_	_
ArthurConley_SweetSoulMusic_1967	Arthur Conley	Sweet Soul Music	_	_	_	_	_
BBKing_HowBlueCanYouGet_1964	B.B. King	How Blue Can You Get	midi	_	_	_	_
BBKing_TheThrillIsGone_1970	B.B. King	The Thrill Is Gone	midi	_	_	_	_
BJThomas_HookedOnAFeeling_1968	B.J. Thomas	Hooked On A Feeling	midi	_	_	_	_
BachmanTurnerOverdrive_Heartaches_1979	Bachman-Turner Overdrive	Heartaches	_	_	_	_	_
BachmanTurnerOverdrive_RollOnDownTheHighway_1975	Bachman-Turner Overdrive	Roll On Down The Highway	_	Nat Condit-Schultz	8/25/16	_	_
BadCompany_RockNRollFantasy_1979	Bad Company	Rock 'N' Roll Fantasy	midi	_	_	_	_
Badfinger_MaybeTomorrow_1969	Badfinger	Maybe Tomorrow	_	_	_	_	_
Baltimora_TarzanBoy_1986	Baltimora	Tarzan Boy (from the film Teenage Mutant Ninja Turtles III)	_	_	_	_	_
Bananarama_ATrickOfTheNight_1987	Bananarama	A Trick Of The Night	_	_	_	_	_
Bananarama_Venus_1986	Bananarama	Venus	midi	Lissa Reed	1/25/16	Two instances of male vocal interjections. Indicated in lyrics with (pa-ren-the-ses)_ Is this ok?	_
BarbaraLewis_HelloStranger_1963	Barbara Lewis	Hello Stranger	midi	_	_	_	_
BarbraStreisand_FunnyGirl_1964	Barbra Streisand	Funny Girl	_	_	_	_	_
BarbraStreisand_People_1964	Barbra Streisand	People	_	_	_	_	_
BarryWhite_YoureTheFirstTheLastMyEverything_1974	Barry White	You're The First, The Last, My Everything 	_	_	_	_	_
BayCityRollers_SaturdayNight_1975	Bay City Rollers	Saturday Night	_	_	_	_	_
BeastieBoys_BrassMonkey_1987	Beastie Boys	Brass Monkey	_	_	_	_	_
BenEKing_Amor_1961	Ben E. King	Amor	_	_	_	_	_
BerthaTillman_OhMyAngel_1962	Bertha Tillman	Oh My Angel	_	_	_	_	_
BetteMidler_TheRose_1980	Bette Midler	The Rose	midi	_	_	_	_
BillWithers_AintNoSunshine_1971	Bill Withers	Ain't No Sunshine	midi	_	_	_	_
BillWithers_LovelyDay_1978	Bill Withers	Lovely Day	midi	_	_	_	_
BillyIdol_CatchMyFall_1985	Billy Idol	Catch My Fall	midi	_	_	_	_
BillyIdol_FleshForFantasy_1984	Billy Idol	Flesh For Fantasy	midi	_	_	_	_
BillyIdol_HotInTheCity_1982	Billy Idol	Hot In The City	midi	_	_	_	_
BillyIdol_RebelYell_1984	Billy Idol	Rebel Yell	midi	Nat Condit-Schultz	8/18/16	_	Harmonic rhythm needs to be changed in the chorus section
BillyIdol_WhiteWedding_1983	Billy Idol	White Wedding	midi	Nat Condit-Schultz	8/9/16	_	_
BillyJoel_AnInnocentMan_1984	Billy Joel	An Innocent Man	midi	_	_	_	_
BillyJoel_DontAskMeWhy_1980	Billy Joel	Don't Ask Me Why	midi	Jonathan Eldridge	5/18/20	Nothing weird here. The clave threw me initially but the song is more Brazilian so the tempo that the harm. Trans. put it in makes sense	The song ends on beat 3; the McGill transcriber added a measure of 2/4 so it ends on 1 for no reason. I've changed this. Nat (Oct 2020)
BillyJoel_JustTheWayYouAre_1978	Billy Joel	Just The Way You Are	midi	_	_	_	_
BillyJoel_Pressure_1983	Billy Joel	Pressure	midi	_	_	_	_
BillyPreston_WithYouImBornAgain_1979	Billy Preston	With You I'm Born Again	_	_	_	_	_
BillySquier_DontSayYouLoveMe_1989	Billy Squier	Don't Say You Love Me	_	_	_	_	_
BillySquier_MyKindaLover_1982	Billy Squier	My Kinda Lover	_	_	_	_	_
BillySquier_TheStroke_1981	Billy Squier	The Stroke	_	Nat Condit-Schultz	2/23/17	_	Original transcription is written in augmentation (for some reason) and has excess measures at the beginning. Other elements of the chord progressions are also wrong.
BillySwan_ICanHelp_1974	Billy Swan	I Can Help	_	_	_	_	_
BingCrosby_SilentNight_1960	Bing Crosby	Silent Night	midi	Dana DeVlieger	1/20/16	_	_
BingCrosby_WhiteChristmas_1962	Bing Crosby	White Christmas	midi	Jonathan Eldridge	1/14/20	Easy swing feel to many approximate rhythms Bing does many scoops and some of his lower pitches are so low as to be indefinite, almost spoken Rubato at times	The McGill version mistakes syncopated chords in the beginning for the down beat, so they have a measure of 3/4. I've changed it to 4/4 but we still need to fix the chords...which aren't quite right. - In fact, the chords in this song are way too detailed---grabbing every passing chord, etc.
BizMarkie_JustAFriend_1990	Biz Markie	Just A Friend	_	Jonathan Eldridge	6/1/20	_	Cut a few measures off the end.
Blondie_IslandOfLostSouls_1982	Blondie	Island Of Lost Souls	_	_	_	_	_
Blondie_OneWayOrAnother_1979	Blondie	One Way Or Another	midi	Hubert Leveille Gauvin	2/25/16	_	_
BlueCheer_SummertimeBlues_1968	Blue Cheer	Summertime Blues	midi	_	_	_	_
BoDiddley_YouCantJudgeABookByTheCover_1962	Bo Diddley	You Can't Judge A Book By The Cover	_	_	_	_	_
BobDylan_GottaServeSomebody_1979	Bob Dylan	Gotta Serve Somebody	_	_	_	_	_
BobSeger_AgainstTheWind_1980	Bob Seger	Against The Wind	midi	_	_	_	_
BobSeger_AmericanStorm_1986	Bob Seger	American Storm	_	_	_	_	_
BobSeger_EvenNow_1983	Bob Seger	Even Now	_	_	_	_	_
BobSeger_LikeARock_1986	Bob Seger	Like A Rock	_	Nat Condit-Schultz	8/17/16	Pretty tough...M3m3 weirdness	_
BobSeger_NightMoves_1977	Bob Seger	Night Moves	midi	_	_	_	_
BobSeger_OldTimeRockAndRoll_1979	Bob Seger	Old Time Rock & Roll	midi	_	_	_	_
BobSeger_RockAndRollNeverForgets_1977	Bob Seger	Rock And Roll Never Forgets	midi	_	_	_	_
BobSeger_TryinToLiveMyLifeWithoutYou_1981	Bob Seger	Tryin' To Live My Life Without You	_	_	_	_	_
BobbiMartin_ILoveYouSo_1965	Bobbi Martin	I Love You So	_	_	_	_	_
BobbieGentry_OdeToBillieJoe_1976	Bobbie Gentry	Ode To Billie Joe	midi	_	_	_	_
BobbyBare_DetroitCity_1963	Bobby Bare	Detroit City	midi	_	_	_	_
BobbyDarin_IfIWereACarpenter_1966	Bobby Darin	If I Were A Carpenter	midi	_	_	_	_
BobbyWomack_SweetCaroline_1972	Bobby Womack	Sweet Caroline (Good Times Never Seemed So Good)	_	_	_	_	_
BobbyWomack_ThatsTheWayIFeelAboutCha_1971	Bobby Womack	That's The Way I Feel About Cha	_	_	_	_	_
BonniePointer_HeavenMustHaveSentYou_1979	Bonnie Pointer	Heaven Must Have Sent You	_	_	_	_	_
BonnieRaitt_NickOfTime_1990	Bonnie Raitt	Nick Of Time	midi	_	_	_	_
Boston_Amanda_1986	Boston	Amanda	midi	_	_	_	_
Boston_FeelinSatisfied_1979	Boston	Feelin' Satisfied	_	_	_	_	_
BoyzIIMen_Motownphilly_1991	Boyz II Men	Motownphilly	_	_	_	_	_
Bread_If_1971	Bread	If	midi	_	_	_	_
Bread_SweetSurrender_1972	Bread	Sweet Surrender	midi	_	_	_	_
BrendaLee_AllAloneAmI_1962	Brenda Lee	All Alone Am I	midi	_	_	_	_
BrendaLee_AsUsual_1964	Brenda Lee	As Usual	_	_	_	_	_
BrendaLee_ComingOnStrong_1966	Brenda Lee	Coming On Strong	_	_	_	_	_
BrendaLee_DumDum_1961	Brenda Lee	Dum Dum	midi	_	_	_	_
BrendaLee_EverybodyLovesMeButYou_1962	Brenda Lee	Everybody Loves Me But You	_	_	_	_	_
BrendaLee_HeartInHand_1962	Brenda Lee	Heart In Hand	_	_	_	_	_
BrendaLee_LosingYou_1963	Brenda Lee	Losing You	_	_	_	_	_
BrendaLee_SweetNothins_1960	Brenda Lee	Sweet Nothin's	_	Hubert Leveille Gauvin	1/20/16	_	Technically harmonic rhythm needs to be changed in chorus, however it won't affect pairing w/ melody since it's only spoken during chorus.
BrendaLee_TooManyRivers_1965	Brenda Lee	Too Many Rivers	midi	_	_	_	_
BrotherJackMcDuff_ThemeFromElectricSurfboard_1969	Brother Jack McDuff	Theme From Electric Surfboard	_	_	_	_	_
BrownsvilleStation_SmokinInTheBoysRoom_1973	Brownsville Station	Smokin' In The Boy's Room	midi	_	_	_	_
BruceChannel_HeyBaby_1962	Bruce Channel	Hey! Baby	_	Dana DeVlieger	2016-01-??	_	_
BruceSpringsteen_ImGoinDown_1985	Bruce Springsteen	I'm Goin' Down	_	Dana DeVlieger	1/30/16	_	_
BruceSpringsteen_MyHometown_1985	Bruce Springsteen	My Hometown	midi	Dana DeVlieger	1/30/16	_	_
BuckOwens_IveGotATigerByTheTail_1965	Buck Owens	I've Got A Tiger By The Tail	midi	_	_	_	_
BuckOwens_ThinkOfMe_1966	Buck Owens	Think Of Me	_	_	_	_	_
CandiStaton_YoungHeartsRunFree_1976	Candi Staton	Young Hearts Run Free	_	_	_	_	_
CannedHeat_LetsWorkTogether_1970	Canned Heat	Let's Work Together	_	_	_	_	_
CannedHeat_OnTheRoadAgain_1968	Canned Heat	On The Road Again	_	_	_	_	_
CarlCarlton_EverlastingLove_1974	Carl Carlton	Everlasting Love	_	_	_	_	_
CharlieRich_AVerySpecialLoveSong_1974	Charlie Rich	A Very Special Love Song	midi	_	_	_	_
CharlieRich_BehindClosedDoors_1973	Charlie Rich	Behind Closed Doors	midi	_	_	_	_
CharlieRich_LonelyWeekends_1960	Charlie Rich	Lonely Weekends	_	_	_	_	_
CheapTrick_DreamPolice_1979	Cheap Trick	Dream Police	midi	Nat Condit-Schultz	8/1/16	_	Transcription had one extra measure (measure 79) at the end of the guitar solo. I've removed this measure; Measure 104 was given as 3/4 instead of two measures of 3/8, which is inconsistant. I've changed it to two measures of 3/8. NEED TO FIX NUMEROUS SYNCOPATIONS IN CHORDS. Also, I respelled some of the flat chords in the chromatic ascent, so we get slightly less crazy functional harmonies in E major.
CheapTrick_IWantYouToWantMe_1979	Cheap Trick	I Want You To Want Me	_	_	_	_	_
CheapTrick_StopThisGame_1980	Cheap Trick	Stop This Game	_	_	_	_	_
CheapTrick_Surrender_1978	Cheap Trick	Surrender	midi	_	_	_	_
Cher_IfICouldTurnBackTime_1989	Cher	If I Could Turn Back Time	midi	_	_	_	_
Cher_JustLikeJesseJames_1989	Cher	Just Like Jesse James	_	_	_	_	_
Chicago_25Or6To4_1970	Chicago	25 Or 6 To 4	midi	Nat Condit-Schultz	8/23/16	_	"Added Chorus Section labels--changed last verse to a """"bridge"""""
Chicago_AliveAgain_1978	Chicago	Alive Again	_	_	_	_	_
Chicago_AlongComesAWoman_1985	Chicago	Along Comes A Woman	midi	_	_	_	_
Chicago_AnotherRainyDayInNewYorkCity_1976	Chicago	Another Rainy Day In New York City	_	_	_	_	_
Chicago_DoesAnybodyReallyKnowWhatTimeItIs_1970	Chicago	Does Anybody Really Know What Time It Is?	midi	Jonathan Eldridge	5/21/20	"It's a big Broadway kind of swing, it's pretty close to triplets--but since most of the melody is phrased as 8ths, I used triplets in the spots where the phrasing really clearly highlights a triplet pattern mm 47 ""time enough to cry"" 8ths go straight The talking portion on the 3rd refrain isn't in time at all, so I did the best I could--and it's closer to straight time ""I said"" figures have D C D-really what's happening is that the front 8th is being broken into 2 portions, but because the swing is so heavy, the more literal notation would have the back half broken, so that's how I wrote it"	_
Chicago_FeelinStrongerEveryDay_1973	Chicago	Feelin' Stronger Every Day	midi	Jonathan Eldridge	6/1/20	_	Key changes at end needed. Definitely changes to A major at 68, and at some point swithes to B major. Also added a bunch of syncopated harmonies.
Chicago_MakeMeSmile_1970	Chicago	Make Me Smile	midi	_	_	_	_
Chicago_OldDays_1975	Chicago	Old Days	midi	_	_	_	_
ChicoDeBarge_TalkToMe_1987	Chico DeBarge	Talk To Me	_	_	_	_	_
ChrisKenner_LandOf1000Dances_1963	Chris Kenner	Land Of 1000 Dances	midi	_	_	_	_
ChubbyChecker_TheTwist_1962	Chubby Checker	The Twist	midi	Claire Arthur	1/26/16	_	_
ChuckBerry_AlmostGrown_1959	Chuck Berry	Almost Grown	midi	Jonathan Eldridge	4/24/20	Obviously the beginning is spoken, but there is time implied by the intro, so I tried my best to transcribe it in time           The time through many of the lyrics is extremely loose, almost nonexistent, and so many rhythms are approximate Lots of bends at the ends of phrases into the last note	_
ChuckBerry_ReelinAndRockin_1972	Chuck Berry	Reelin' & Rockin'	midi	Hubert Leveille Gauvin; Nat Condit-Schultz	2016-06-20; 2017-02-02	Every chorus ends with a note in between Bb and B	Pre-chorus needs harmonic rhythm changed.
ChuckBerry_SweetLittleRockAndRoll_1958	Chuck Berry	Sweet Little Rock And Roll	_	_	_	_	_
ClarenceCarter_Patches_1970	Clarence Carter	Patches	_	_	_	_	_
ClarenceCarter_TooWeakToFight_1968	Clarence Carter	Too Weak To Fight	_	_	_	_	_
CliffRichard_Carrie_1980	Cliff Richard	Carrie	_	_	_	_	_
CliffRichard_DaddysHome_1982	Cliff Richard	Daddy's Home	_	_	_	_	_
CliffRichard_DevilWoman_1976	Cliff Richard	Devil Woman	midi	_	_	_	_
CliffRichard_LivingDoll_1959	Cliff Richard	Living Doll	midi	Jonathan Eldridge	6/1/20	_	_
CliffRichard_WeDontTalkAnymore_1979	Cliff Richard	We Don't Talk Anymore	midi	Jonathan Eldridge	5/8/20	"The version I used here was the 7"", which I'm pretty sure is the American single"	Changed McGill transcription to reflect the single version (removed timestamps and last 13 measures). Also, added two key changes to A: (and back to C:).
ColorMeBadd_IAdoreMiAmor_1991	Color Me Badd	I Adore Mi Amor	_	_	_	_	_
Commodores_Easy_1977	Commodores	Easy	midi	_	_	_	McGill was missing key change to A major at end. I've added it. I've also respelled B as Cb. This song is also written in double time...probably to allow them to incorporate (roughly) harmonic syncopations in their system...it should be re written at half the tempo (two chords per bar).
Commodores_Lady_1981	Commodores	Lady (You Bring Me Up)	_	Jonathan Eldridge	4/24/20	There are a couple sections where the pitch is a little strange--not out of tune or unpitched, but just probably not what they meant to sing. Apparently, there's multiple cuts of the single version; there's an ad-lib at mm. 39 that’s in one version and not another	Removed extra measure before the bridge. I'm not sure about these chords...
Commodores_Nightshift_1985	Commodores	Nightshift	_	Jonathan Eldridge	4/24/20	Same thing as the other Commodores tune; towards the end of the fade-out there are some questionable note choices, but I transcribed them anyways	_
Commodores_Still_1980	Commodores	Still	midi	_	_	_	_
Commodores_ThreeTimesALady_1978	Commodores	Three Times A Lady	midi	_	_	_	_
CoreyHart_InYourSoul_1988	Corey Hart	In Your Soul	_	_	_	_	_
CorneliusBrothersAndSisterRose_TreatHerLikeALady_1971	Cornelius Brothers & Sister Rose	Treat Her Like A Lady	_	Jonathan Eldridge	6/1/20	_	_
CountBasie_GoingToChicagoBlues_1958	Count Basie	Going To Chicago Blues	_	_	_	_	_
Cream_SunshineOfYourLove_1968	Cream	Sunshine Of Your Love	midi	Nat Condit-Schultz	1/26/16	_	_
CreedenceClearwaterRevival_BadMoonRising_1969	Creedence Clearwater Revival	Bad Moon Rising	midi	Nat Condit-Schultz	2/22/16	_	_
CreedenceClearwaterRevival_IPutASpellOnYou_1968	Creedence Clearwater Revival	I Put A Spell On You	midi	Jonathan Eldridge	4/24/20	Since there's no referent chart in the harmonic transcriptions for  this, I was a little torn on how to do it, but I settled on a fast 3/4, mainly because of the swung 8ths At many points the phrasing is slightly behind the beat; the many melismas contribute to this. (Nat: I changed Jonathan's transcription to match the McGill's 12/8).	Removed a strange change to 6/4 near the very end.
CrosbyStillsAndNash_GotItMade_1989	Crosby, Stills & Nash 	Got It Made	_	_	_	_	_
CrosbyStillsAndNash_SuiteJudyBlueEyes_1969	Crosby, Stills & Nash 	Judy Blue Eyes	_	_	_	_	_
CrosbyStillsAndNash_SouthernCross_1982	Crosby, Stills & Nash 	Southern Cross	midi	_	_	_	_
CrosbyStillsAndNash_TeachYourChildren_1970	Crosby, Stills & Nash 	Teach Your Children	midi	_	_	_	_
CultureClub_IllTumble4Ya_1983	Culture Club	I'll Tumble 4 Ya	_	_	_	_	_
CultureClub_KarmaChameleon_1984	Culture Club	Karma Chameleon	midi	Dallas ? (GATech undergrad)	2019-03-??	_	_
CyndiLauper_AllThroughTheNight_1984	Cyndi Lauper	All Through The Night	midi	_	_	_	_
CyndiLauper_IDroveAllNight_1989	Cyndi Lauper	I Drove All Night	midi	_	_	_	_
CyndiLauper_SheBop_1984	Cyndi Lauper	She Bop	midi	_	_	_	_
CyndiLauper_TheGooniesRGoodEnough_1985	Cyndi Lauper	The Goonies R Good Enough	_	Nat Condit-Schultz	3/8/17	_	Key needs to be changed to C# in some places?
CyndiLauper_TrueColors_1986	Cyndi Lauper	True Colors	midi	Matthew Arnold	2019-03-??	_	_
DarylHallAndJohnOates_KissOnMyList_1981	Daryl Hall & John Oates	Kiss On My List	_	Jonathan Eldridge	5/14/20	"Sometimes the backups do little vocalizations, but they're so close to the synths that I didn't reflect them because they aren’t melodic whatsoever; they're more like a comping instrument Regarding anticipations into slides on notes, I variously used 16ths, 32nds and graces, depending on how deliberate and ""in time"" the anticipation was, as well as the duration"	_
DarylHallAndJohnOates_Maneater_1983	Daryl Hall & John Oates	Maneater	midi	_	_	_	_
DarylHallAndJohnOates_RichGirl_1977	Daryl Hall & John Oates	Rich Girl	midi	_	_	_	_
DarylHallAndJohnOates_SaraSmile_1976	Daryl Hall & John Oates	Sara Smile	midi	_	_	_	_
DaveDudley_SixDaysOnTheRoad_1963	Dave Dudley	Six Days On The Road	midi	_	_	_	_
DavidBowie_BlueJean_1984	David Bowie	Blue Jean	midi	Will Smith	4/23/19	_	_
DavidBowie_GoldenYears_1976	David Bowie	Golden Years	_	_	_	_	_
DavidBowie_ModernLove_1983	David Bowie	Modern Love	midi	_	_	_	_
DavidBowie_SpaceOddity_1973	David Bowie	Space Oddity	midi	_	_	_	_
DavidCrosbyAndGrahamNash_CarryMe_1975	David Crosby & Graham Nash	Carry Me	_	_	_	_	_
DavidRuffinAndJimmyRuffin_StandByMe_1970	David Ruffin & Jimmy Ruffin	Stand By Me	midi	Nat Condit-Schultz	2/5/17	Very hard duet	_
DeLaSoul_MeMyselfAndI_1989	De La Soul	Me Myself And I	_	_	_	_	_
DeanMartin_EverybodyLovesSomebody_1964	Dean Martin	Everybody Loves Somebody	_	_	_	_	_
DeanMartin_IWill_1965	Dean Martin	I Will	_	_	_	_	_
Debarge_TimeWillReveal_1984	Debarge	Time Will Reveal	_	_	_	_	_
DepecheMode_WorldInMyEyes_1990	Depeche Mode	World In My Eyes	midi	Nat Condit-Schultz	2/2/16	Intro is twice as long (16 measures) as McGill data says	_
DianaRoss_UpsideDown_1980	Diana Ross	Upside Down	_	_	_	_	_
DigitalUnderground_TheHumptyDance_1990	Digital Underground	The Humpty Dance	_	_	_	_	_
DinahWashington_Unforgettable_1959	Dinah Washington	Unforgettable	midi	Nat Condit-Schultz	6/16/21	_	_
DinahWashington_WhereAreYou_1962	Dinah Washington	Where Are You	midi	_	_	_	_
Dion_BornToCry_1962	Dion	(I was) Born To Cry	_	_	_	_	_
Dion_AbrahamMartinAndJohn_1968	Dion	Abraham, Martin And John 	UPRFB	_	_	_	_
Dion_LoveCameToMe_1962	Dion	Love Came To Me	_	_	_	_	_
Dion_LoversWhoWander_1962	Dion	Lovers Who Wander	UPRFB	_	_	_	_
Dion_RubyBaby_1963	Dion	Ruby Baby	midi	_	_	_	_
Dion_RunaroundSue_1961	Dion	Runaround Sue	midi	_	_	_	_
Dion_ThisLittleGirl_1963	Dion	This Little Girl	_	_	_	_	_
Dion_WhereOrWhen_1960	Dion	Where Or When	midi	_	_	_	_
