Corpus	Filename	Artist	Title	Year	Melody	Harmony	Lyrics
Billboard	ABBA_Chiquitita_1979	ABBA	Chiquitita	1979	TRUE	TRUE	TRUE
Billboard	ABBA_Fernando_1976	ABBA	Fernando	1976	FALSE	TRUE	FALSE
Billboard	ABBA_HoneyHoney_1974	ABBA	Honey, Honey	1974	TRUE	TRUE	TRUE
Billboard	ABBA_KnowingMeKnowingYou_1977	ABBA	Knowing Me, Knowing You	1977	FALSE	TRUE	FALSE
Billboard	ABBA_OnAndOnAndOn_1981	ABBA	On And On And On	1981	FALSE	TRUE	FALSE
Billboard	ABBA_TakeAChanceOnMe_1978	ABBA	Take A Chance On Me	1978	FALSE	TRUE	FALSE
Billboard	ATasteOfHoney_Sukiyaki_1981	A Taste Of Honey	Sukiyaki	1981	FALSE	TRUE	FALSE
Billboard	AaronNeville_TellItLikeItIs_1966	Aaron Neville	Tell It Like It Is	1966	FALSE	TRUE	FALSE
Billboard	Aerosmith_LastChild_1976	Aerosmith	Last Child	1976	FALSE	TRUE	FALSE
Billboard	AlGreen_OhMeOhMy_1975	Al Green	Oh Me, Oh My (Dreams In My Arms)	1975	TRUE	TRUE	TRUE
Billboard	Alabama_TakeMeDown_1982	Alabama	Take Me Down	1982	FALSE	TRUE	FALSE
Billboard	AlanODay_UndercoverAngel_1977	Alan O'Day	Undercover Angel	1977	FALSE	TRUE	FALSE
Billboard	AliceCooper_HeyStoopid_1991	Alice Cooper	Hey Stoopid	1991	FALSE	TRUE	FALSE
Billboard	AliceCooper_SchoolsOut_1972	Alice Cooper	School's Out	1972	TRUE	TRUE	TRUE
Billboard	AndyGibb_ShadowDancing_1978	Andy Gibb	Shadow Dancing	1978	TRUE	TRUE	TRUE
Billboard	AnitaBaker_CaughtUpInTheRapture_1987	Anita Baker	Caught Up In The Rapture	1987	TRUE	TRUE	TRUE
Billboard	AnitaBaker_GivingYouTheBestThatIGot_1989	Anita Baker	Giving You The Best That I Got	1989	FALSE	TRUE	FALSE
Billboard	AnitaBaker_SweetLove_1986	Anita Baker	Sweet Love	1986	TRUE	TRUE	TRUE
Billboard	AnnPeebles_ICantStandTheRain_1973	Ann Peebles	I Can't Stand The Rain	1973	FALSE	TRUE	FALSE
Billboard	AnneMurray_CouldIHaveThisDance_1980	Anne Murray	Could I Have This Dance	1980	TRUE	TRUE	TRUE
Billboard	AnneMurray_DaydreamBeliever_1980	Anne Murray	Daydream Believer	1980	FALSE	TRUE	FALSE
Billboard	AnneMurray_LoveSong_1974	Anne Murray	Love Song	1974	TRUE	TRUE	TRUE
Billboard	ArethaFranklin_ChainOfFools_1967	Aretha Franklin	Chain Of Fools	1967	FALSE	TRUE	FALSE
Billboard	ArethaFranklin_INeverLovedAMan_1967	Aretha Franklin	I Never Loved A Man (The Way I Love You)	1967	FALSE	TRUE	FALSE
Billboard	ArethaFranklin_OhMeOhMy_1972	Aretha Franklin	Oh Me Oh My (I'm A Fool For You Baby)	1972	FALSE	TRUE	FALSE
Billboard	ArthurConley_SweetSoulMusic_1967	Arthur Conley	Sweet Soul Music	1967	FALSE	TRUE	FALSE
Billboard	BBKing_HowBlueCanYouGet_1964	B.B. King	How Blue Can You Get	1964	FALSE	TRUE	FALSE
Billboard	BBKing_TheThrillIsGone_1970	B.B. King	The Thrill Is Gone	1970	FALSE	TRUE	FALSE
Billboard	BJThomas_HookedOnAFeeling_1968	B.J. Thomas	Hooked On A Feeling	1968	FALSE	TRUE	FALSE
Billboard	BachmanTurnerOverdrive_Heartaches_1979	Bachman-Turner Overdrive	Heartaches	1979	FALSE	TRUE	FALSE
Billboard	BachmanTurnerOverdrive_RollOnDownTheHighway_1975	Bachman-Turner Overdrive	Roll On Down The Highway	1975	TRUE	TRUE	TRUE
Billboard	BadCompany_RockNRollFantasy_1979	Bad Company	Rock 'N' Roll Fantasy	1979	FALSE	TRUE	FALSE
Billboard	Badfinger_MaybeTomorrow_1969	Badfinger	Maybe Tomorrow	1969	FALSE	TRUE	FALSE
Billboard	Baltimora_TarzanBoy_1986	Baltimora	Tarzan Boy (from the film Teenage Mutant Ninja Turtles III)	1986	FALSE	TRUE	FALSE
Billboard	Bananarama_ATrickOfTheNight_1987	Bananarama	A Trick Of The Night	1987	FALSE	TRUE	FALSE
Billboard	Bananarama_Venus_1986	Bananarama	Venus	1986	TRUE	TRUE	TRUE
Billboard	BarbaraLewis_HelloStranger_1963	Barbara Lewis	Hello Stranger	1963	FALSE	TRUE	FALSE
Billboard	BarbraStreisand_FunnyGirl_1964	Barbra Streisand	Funny Girl	1964	FALSE	TRUE	FALSE
Billboard	BarbraStreisand_People_1964	Barbra Streisand	People	1964	FALSE	TRUE	FALSE
Billboard	BarryWhite_YoureTheFirstTheLastMyEverything_1974	Barry White	You're The First, The Last, My Everything	1974	FALSE	TRUE	FALSE
Billboard	BayCityRollers_SaturdayNight_1975	Bay City Rollers	Saturday Night	1975	FALSE	TRUE	FALSE
Billboard	BeastieBoys_BrassMonkey_1987	Beastie Boys	Brass Monkey	1987	FALSE	TRUE	FALSE
Billboard	BenEKing_Amor_1961	Ben E. King	Amor	1961	FALSE	TRUE	FALSE
Billboard	BerthaTillman_OhMyAngel_1962	Bertha Tillman	Oh My Angel	1962	FALSE	TRUE	FALSE
Billboard	BetteMidler_TheRose_1980	Bette Midler	The Rose	1980	FALSE	TRUE	FALSE
Billboard	BillWithers_AintNoSunshine_1971	Bill Withers	Ain't No Sunshine	1971	FALSE	TRUE	FALSE
Billboard	BillWithers_LovelyDay_1978	Bill Withers	Lovely Day	1978	FALSE	TRUE	FALSE
Billboard	BillyIdol_CatchMyFall_1985	Billy Idol	Catch My Fall	1985	FALSE	TRUE	FALSE
Billboard	BillyIdol_FleshForFantasy_1984	Billy Idol	Flesh For Fantasy	1984	FALSE	TRUE	FALSE
Billboard	BillyIdol_HotInTheCity_1982	Billy Idol	Hot In The City	1982	FALSE	TRUE	FALSE
Billboard	BillyIdol_RebelYell_1984	Billy Idol	Rebel Yell	1984	TRUE	TRUE	TRUE
Billboard	BillyIdol_WhiteWedding_1983	Billy Idol	White Wedding	1983	TRUE	TRUE	TRUE
Billboard	BillyJoel_AnInnocentMan_1984	Billy Joel	An Innocent Man	1984	FALSE	TRUE	FALSE
Billboard	BillyJoel_DontAskMeWhy_1980	Billy Joel	Don't Ask Me Why	1980	TRUE	TRUE	TRUE
Billboard	BillyJoel_JustTheWayYouAre_1978	Billy Joel	Just The Way You Are	1978	FALSE	TRUE	FALSE
Billboard	BillyJoel_Pressure_1983	Billy Joel	Pressure	1983	FALSE	TRUE	FALSE
Billboard	BillyPreston_WithYouImBornAgain_1979	Billy Preston	With You I'm Born Again	1979	FALSE	TRUE	FALSE
Billboard	BillySquier_DontSayYouLoveMe_1989	Billy Squier	Don't Say You Love Me	1989	FALSE	TRUE	FALSE
Billboard	BillySquier_MyKindaLover_1982	Billy Squier	My Kinda Lover	1982	FALSE	TRUE	FALSE
Billboard	BillySquier_TheStroke_1981	Billy Squier	The Stroke	1981	TRUE	TRUE	TRUE
Billboard	BillySwan_ICanHelp_1974	Billy Swan	I Can Help	1974	FALSE	TRUE	FALSE
Billboard	BingCrosby_SilentNight_1960	Bing Crosby	Silent Night	1960	TRUE	TRUE	TRUE
Billboard	BingCrosby_WhiteChristmas_1962	Bing Crosby	White Christmas	1962	TRUE	TRUE	TRUE
Billboard	BizMarkie_JustAFriend_1990	Biz Markie	Just A Friend	1990	TRUE	TRUE	TRUE
Billboard	Blondie_IslandOfLostSouls_1982	Blondie	Island Of Lost Souls	1982	FALSE	TRUE	FALSE
Billboard	Blondie_OneWayOrAnother_1979	Blondie	One Way Or Another	1979	TRUE	TRUE	TRUE
Billboard	BlueCheer_SummertimeBlues_1968	Blue Cheer	Summertime Blues	1968	FALSE	TRUE	FALSE
Billboard	BoDiddley_YouCantJudgeABookByTheCover_1962	Bo Diddley	You Can't Judge A Book By The Cover	1962	FALSE	TRUE	FALSE
Billboard	BobDylan_GottaServeSomebody_1979	Bob Dylan	Gotta Serve Somebody	1979	FALSE	TRUE	FALSE
Billboard	BobSeger_AgainstTheWind_1980	Bob Seger	Against The Wind	1980	FALSE	TRUE	FALSE
Billboard	BobSeger_AmericanStorm_1986	Bob Seger	American Storm	1986	FALSE	TRUE	FALSE
Billboard	BobSeger_EvenNow_1983	Bob Seger	Even Now	1983	FALSE	TRUE	FALSE
Billboard	BobSeger_LikeARock_1986	Bob Seger	Like A Rock	1986	TRUE	TRUE	TRUE
Billboard	BobSeger_NightMoves_1977	Bob Seger	Night Moves	1977	FALSE	TRUE	FALSE
Billboard	BobSeger_OldTimeRockAndRoll_1979	Bob Seger	Old Time Rock & Roll	1979	FALSE	TRUE	FALSE
Billboard	BobSeger_RockAndRollNeverForgets_1977	Bob Seger	Rock And Roll Never Forgets	1977	FALSE	TRUE	FALSE
Billboard	BobSeger_TryinToLiveMyLifeWithoutYou_1981	Bob Seger	Tryin' To Live My Life Without You	1981	FALSE	TRUE	FALSE
Billboard	BobbiMartin_ILoveYouSo_1965	Bobbi Martin	I Love You So	1965	FALSE	TRUE	FALSE
Billboard	BobbieGentry_OdeToBillieJoe_1976	Bobbie Gentry	Ode To Billie Joe	1976	FALSE	TRUE	FALSE
Billboard	BobbyBare_DetroitCity_1963	Bobby Bare	Detroit City	1963	FALSE	TRUE	FALSE
Billboard	BobbyDarin_IfIWereACarpenter_1966	Bobby Darin	If I Were A Carpenter	1966	FALSE	TRUE	FALSE
Billboard	BobbyWomack_SweetCaroline_1972	Bobby Womack	Sweet Caroline (Good Times Never Seemed So Good)	1972	FALSE	TRUE	FALSE
Billboard	BobbyWomack_ThatsTheWayIFeelAboutCha_1971	Bobby Womack	That's The Way I Feel About Cha	1971	FALSE	TRUE	FALSE
Billboard	BonniePointer_HeavenMustHaveSentYou_1979	Bonnie Pointer	Heaven Must Have Sent You	1979	FALSE	TRUE	FALSE
Billboard	BonnieRaitt_NickOfTime_1990	Bonnie Raitt	Nick Of Time	1990	FALSE	TRUE	FALSE
Billboard	Boston_Amanda_1986	Boston	Amanda	1986	FALSE	TRUE	FALSE
Billboard	Boston_FeelinSatisfied_1979	Boston	Feelin' Satisfied	1979	FALSE	TRUE	FALSE
Billboard	BoyzIIMen_Motownphilly_1991	Boyz II Men	Motownphilly	1991	FALSE	TRUE	FALSE
Billboard	Bread_If_1971	Bread	If	1971	FALSE	TRUE	FALSE
Billboard	Bread_SweetSurrender_1972	Bread	Sweet Surrender	1972	FALSE	TRUE	FALSE
Billboard	BrendaLee_AllAloneAmI_1962	Brenda Lee	All Alone Am I	1962	FALSE	TRUE	FALSE
Billboard	BrendaLee_AsUsual_1964	Brenda Lee	As Usual	1964	FALSE	TRUE	FALSE
Billboard	BrendaLee_ComingOnStrong_1966	Brenda Lee	Coming On Strong	1966	FALSE	TRUE	FALSE
Billboard	BrendaLee_DumDum_1961	Brenda Lee	Dum Dum	1961	FALSE	TRUE	FALSE
Billboard	BrendaLee_EverybodyLovesMeButYou_1962	Brenda Lee	Everybody Loves Me But You	1962	FALSE	TRUE	FALSE
Billboard	BrendaLee_HeartInHand_1962	Brenda Lee	Heart In Hand	1962	FALSE	TRUE	FALSE
Billboard	BrendaLee_LosingYou_1963	Brenda Lee	Losing You	1963	FALSE	TRUE	FALSE
Billboard	BrendaLee_SweetNothins_1960	Brenda Lee	Sweet Nothin's	1960	TRUE	TRUE	TRUE
Billboard	BrendaLee_TooManyRivers_1965	Brenda Lee	Too Many Rivers	1965	FALSE	TRUE	FALSE
Billboard	BrotherJackMcDuff_ThemeFromElectricSurfboard_1969	Brother Jack McDuff	Theme From Electric Surfboard	1969	FALSE	TRUE	FALSE
Billboard	BrownsvilleStation_SmokinInTheBoysRoom_1973	Brownsville Station	Smokin' In The Boy's Room	1973	FALSE	TRUE	FALSE
Billboard	BruceChannel_HeyBaby_1962	Bruce Channel	Hey! Baby	1962	TRUE	TRUE	TRUE
Billboard	BruceSpringsteen_ImGoinDown_1985	Bruce Springsteen	I'm Goin' Down	1985	TRUE	TRUE	TRUE
Billboard	BruceSpringsteen_MyHometown_1985	Bruce Springsteen	My Hometown	1985	TRUE	TRUE	TRUE
Billboard	BuckOwens_IveGotATigerByTheTail_1965	Buck Owens	I've Got A Tiger By The Tail	1965	FALSE	TRUE	FALSE
Billboard	BuckOwens_ThinkOfMe_1966	Buck Owens	Think Of Me	1966	FALSE	TRUE	FALSE
Billboard	CandiStaton_YoungHeartsRunFree_1976	Candi Staton	Young Hearts Run Free	1976	FALSE	TRUE	FALSE
Billboard	CannedHeat_LetsWorkTogether_1970	Canned Heat	Let's Work Together	1970	FALSE	TRUE	FALSE
Billboard	CannedHeat_OnTheRoadAgain_1968	Canned Heat	On The Road Again	1968	FALSE	TRUE	FALSE
Billboard	CarlCarlton_EverlastingLove_1974	Carl Carlton	Everlasting Love	1974	FALSE	TRUE	FALSE
Billboard	CharlieRich_AVerySpecialLoveSong_1974	Charlie Rich	A Very Special Love Song	1974	FALSE	TRUE	FALSE
Billboard	CharlieRich_BehindClosedDoors_1973	Charlie Rich	Behind Closed Doors	1973	FALSE	TRUE	FALSE
Billboard	CharlieRich_LonelyWeekends_1960	Charlie Rich	Lonely Weekends	1960	FALSE	TRUE	FALSE
Billboard	CheapTrick_DreamPolice_1979	Cheap Trick	Dream Police	1979	TRUE	TRUE	TRUE
Billboard	CheapTrick_IWantYouToWantMe_1979	Cheap Trick	I Want You To Want Me	1979	FALSE	TRUE	FALSE
Billboard	CheapTrick_StopThisGame_1980	Cheap Trick	Stop This Game	1980	FALSE	TRUE	FALSE
Billboard	CheapTrick_Surrender_1978	Cheap Trick	Surrender	1978	FALSE	TRUE	FALSE
Billboard	Cher_IfICouldTurnBackTime_1989	Cher	If I Could Turn Back Time	1989	FALSE	TRUE	FALSE
Billboard	Cher_JustLikeJesseJames_1989	Cher	Just Like Jesse James	1989	FALSE	TRUE	FALSE
Billboard	Chicago_25Or6To4_1970	Chicago	25 Or 6 To 4	1970	TRUE	TRUE	TRUE
Billboard	Chicago_AliveAgain_1978	Chicago	Alive Again	1978	FALSE	TRUE	FALSE
Billboard	Chicago_AlongComesAWoman_1985	Chicago	Along Comes A Woman	1985	FALSE	TRUE	FALSE
Billboard	Chicago_AnotherRainyDayInNewYorkCity_1976	Chicago	Another Rainy Day In New York City	1976	FALSE	TRUE	FALSE
Billboard	Chicago_DoesAnybodyReallyKnowWhatTimeItIs_1970	Chicago	Does Anybody Really Know What Time It Is?	1970	TRUE	TRUE	TRUE
Billboard	Chicago_FeelinStrongerEveryDay_1973	Chicago	Feelin' Stronger Every Day	1973	TRUE	TRUE	TRUE
Billboard	Chicago_MakeMeSmile_1970	Chicago	Make Me Smile	1970	FALSE	TRUE	FALSE
Billboard	Chicago_OldDays_1975	Chicago	Old Days	1975	FALSE	TRUE	FALSE
Billboard	ChicoDeBarge_TalkToMe_1987	Chico DeBarge	Talk To Me	1987	FALSE	TRUE	FALSE
Billboard	ChrisKenner_LandOf1000Dances_1963	Chris Kenner	Land Of 1000 Dances	1963	FALSE	TRUE	FALSE
Billboard	ChubbyChecker_TheTwist_1962	Chubby Checker	The Twist	1962	TRUE	TRUE	TRUE
Billboard	ChuckBerry_AlmostGrown_1959	Chuck Berry	Almost Grown	1959	TRUE	TRUE	TRUE
Billboard	ChuckBerry_ReelinAndRockin_1972	Chuck Berry	Reelin' & Rockin'	1972	TRUE	TRUE	TRUE
Billboard	ChuckBerry_SweetLittleRockAndRoll_1958	Chuck Berry	Sweet Little Rock And Roll	1958	FALSE	TRUE	FALSE
Billboard	ClarenceCarter_Patches_1970	Clarence Carter	Patches	1970	FALSE	TRUE	FALSE
Billboard	ClarenceCarter_TooWeakToFight_1968	Clarence Carter	Too Weak To Fight	1968	FALSE	TRUE	FALSE
Billboard	CliffRichard_Carrie_1980	Cliff Richard	Carrie	1980	FALSE	TRUE	FALSE
Billboard	CliffRichard_DaddysHome_1982	Cliff Richard	Daddy's Home	1982	FALSE	TRUE	FALSE
Billboard	CliffRichard_DevilWoman_1976	Cliff Richard	Devil Woman	1976	FALSE	TRUE	FALSE
Billboard	CliffRichard_LivingDoll_1959	Cliff Richard	Living Doll	1959	TRUE	TRUE	TRUE
Billboard	CliffRichard_WeDontTalkAnymore_1979	Cliff Richard	We Don't Talk Anymore	1979	TRUE	TRUE	TRUE
Billboard	ColorMeBadd_IAdoreMiAmor_1991	Color Me Badd	I Adore Mi Amor	1991	FALSE	TRUE	FALSE
Billboard	Commodores_Easy_1977	Commodores	Easy	1977	FALSE	TRUE	FALSE
Billboard	Commodores_Lady_1981	Commodores	Lady (You Bring Me Up)	1981	TRUE	TRUE	TRUE
Billboard	Commodores_Nightshift_1985	Commodores	Nightshift	1985	TRUE	TRUE	TRUE
Billboard	Commodores_Still_1980	Commodores	Still	1980	FALSE	TRUE	FALSE
Billboard	Commodores_ThreeTimesALady_1978	Commodores	Three Times A Lady	1978	FALSE	TRUE	FALSE
Billboard	CoreyHart_InYourSoul_1988	Corey Hart	In Your Soul	1988	FALSE	TRUE	FALSE
Billboard	CorneliusBrothersAndSisterRose_TreatHerLikeALady_1971	Cornelius Brothers & Sister Rose	Treat Her Like A Lady	1971	TRUE	TRUE	TRUE
Billboard	CountBasie_GoingToChicagoBlues_1958	Count Basie	Going To Chicago Blues	1958	FALSE	TRUE	FALSE
Billboard	Cream_SunshineOfYourLove_1968	Cream	Sunshine Of Your Love	1968	TRUE	TRUE	TRUE
Billboard	CreedenceClearwaterRevival_BadMoonRising_1969	Creedence Clearwater Revival	Bad Moon Rising	1969	TRUE	TRUE	TRUE
Billboard	CreedenceClearwaterRevival_IPutASpellOnYou_1968	Creedence Clearwater Revival	I Put A Spell On You	1968	TRUE	TRUE	TRUE
Billboard	CrosbyStillsAndNash_GotItMade_1989	Crosby, Stills & Nash	Got It Made	1989	FALSE	TRUE	FALSE
Billboard	CrosbyStillsAndNash_SouthernCross_1982	Crosby, Stills & Nash	Southern Cross	1982	FALSE	TRUE	FALSE
Billboard	CrosbyStillsAndNash_SuiteJudyBlueEyes_1969	Crosby, Stills & Nash	Judy Blue Eyes	1969	FALSE	TRUE	FALSE
Billboard	CrosbyStillsAndNash_TeachYourChildren_1970	Crosby, Stills & Nash	Teach Your Children	1970	FALSE	TRUE	FALSE
Billboard	CultureClub_IllTumble4Ya_1983	Culture Club	I'll Tumble 4 Ya	1983	FALSE	TRUE	FALSE
Billboard	CultureClub_KarmaChameleon_1984	Culture Club	Karma Chameleon	1984	TRUE	TRUE	TRUE
Billboard	CyndiLauper_AllThroughTheNight_1984	Cyndi Lauper	All Through The Night	1984	FALSE	TRUE	FALSE
Billboard	CyndiLauper_IDroveAllNight_1989	Cyndi Lauper	I Drove All Night	1989	FALSE	TRUE	FALSE
Billboard	CyndiLauper_SheBop_1984	Cyndi Lauper	She Bop	1984	FALSE	TRUE	FALSE
Billboard	CyndiLauper_TheGooniesRGoodEnough_1985	Cyndi Lauper	The Goonies R Good Enough	1985	TRUE	TRUE	TRUE
Billboard	CyndiLauper_TrueColors_1986	Cyndi Lauper	True Colors	1986	TRUE	TRUE	TRUE
Billboard	DarylHallAndJohnOates_KissOnMyList_1981	Daryl Hall & John Oates	Kiss On My List	1981	TRUE	TRUE	TRUE
Billboard	DarylHallAndJohnOates_Maneater_1983	Daryl Hall & John Oates	Maneater	1983	FALSE	TRUE	FALSE
Billboard	DarylHallAndJohnOates_RichGirl_1977	Daryl Hall & John Oates	Rich Girl	1977	FALSE	TRUE	FALSE
Billboard	DarylHallAndJohnOates_SaraSmile_1976	Daryl Hall & John Oates	Sara Smile	1976	FALSE	TRUE	FALSE
Billboard	DaveDudley_SixDaysOnTheRoad_1963	Dave Dudley	Six Days On The Road	1963	FALSE	TRUE	FALSE
Billboard	DavidBowie_BlueJean_1984	David Bowie	Blue Jean	1984	TRUE	TRUE	TRUE
Billboard	DavidBowie_GoldenYears_1976	David Bowie	Golden Years	1976	FALSE	TRUE	FALSE
Billboard	DavidBowie_ModernLove_1983	David Bowie	Modern Love	1983	FALSE	TRUE	FALSE
Billboard	DavidBowie_SpaceOddity_1973	David Bowie	Space Oddity	1973	FALSE	TRUE	FALSE
Billboard	DavidCrosbyAndGrahamNash_CarryMe_1975	David Crosby & Graham Nash	Carry Me	1975	FALSE	TRUE	FALSE
Billboard	DavidRuffinAndJimmyRuffin_StandByMe_1970	David Ruffin & Jimmy Ruffin	Stand By Me	1970	TRUE	TRUE	TRUE
Billboard	DeLaSoul_MeMyselfAndI_1989	De La Soul	Me Myself And I	1989	FALSE	TRUE	FALSE
Billboard	DeanMartin_EverybodyLovesSomebody_1964	Dean Martin	Everybody Loves Somebody	1964	FALSE	TRUE	FALSE
Billboard	DeanMartin_IWill_1965	Dean Martin	I Will	1965	FALSE	TRUE	FALSE
Billboard	Debarge_TimeWillReveal_1984	Debarge	Time Will Reveal	1984	FALSE	TRUE	FALSE
Billboard	DepecheMode_WorldInMyEyes_1990	Depeche Mode	World In My Eyes	1990	TRUE	TRUE	TRUE
Billboard	DianaRoss_UpsideDown_1980	Diana Ross	Upside Down	1980	FALSE	TRUE	FALSE
Billboard	DigitalUnderground_TheHumptyDance_1990	Digital Underground	The Humpty Dance	1990	FALSE	TRUE	FALSE
Billboard	DinahWashington_Unforgettable_1959	Dinah Washington	Unforgettable	1959	TRUE	TRUE	TRUE
Billboard	DinahWashington_WhereAreYou_1962	Dinah Washington	Where Are You	1962	FALSE	TRUE	FALSE
Billboard	Dion_AbrahamMartinAndJohn_1968	Dion	Abraham, Martin And John	1968	FALSE	TRUE	FALSE
Billboard	Dion_BornToCry_1962	Dion	(I was) Born To Cry	1962	FALSE	TRUE	FALSE
Billboard	Dion_LoveCameToMe_1962	Dion	Love Came To Me	1962	FALSE	TRUE	FALSE
Billboard	Dion_LoversWhoWander_1962	Dion	Lovers Who Wander	1962	FALSE	TRUE	FALSE
Billboard	Dion_RubyBaby_1963	Dion	Ruby Baby	1963	FALSE	TRUE	FALSE
Billboard	Dion_RunaroundSue_1961	Dion	Runaround Sue	1961	FALSE	TRUE	FALSE
Billboard	Dion_ThisLittleGirl_1963	Dion	This Little Girl	1963	FALSE	TRUE	FALSE
Billboard	Dion_WhereOrWhen_1960	Dion	Where Or When	1960	FALSE	TRUE	FALSE
Billboard	DollyParton_BabyImBurnin_1979	Dolly Parton	Baby I'm Burnin'	1979	FALSE	TRUE	FALSE
Billboard	DollyParton_StartingOverAgain_1980	Dolly Parton	Starting Over Again	1980	FALSE	TRUE	FALSE
Billboard	DonGibson_SeaOfHeartbreak_1961	Don Gibson	Sea Of Heartbreak	1961	FALSE	TRUE	FALSE
Billboard	DonnaFargo_Superman_1973	Donna Fargo	Superman	1973	FALSE	TRUE	FALSE
Billboard	DonnaSummer_LastDance_1978	Donna Summer	Last Dance	1978	TRUE	TRUE	TRUE
